L,selector,count,max,mean,median,min,p25,p75,p90,p95,p99,positive_fraction,std,zero_fraction
50,distance_regret,1000000,161.84599139584975,0.2041941221371172,0.05949941741645404,-36.375052036371244,0.0,0.2229819757789855,0.5212250666361683,0.8226208405442258,1.9856194225742398,0.745374,0.6496538877462588,0.172401
50,routing_aware,1000000,202.0,-0.053333,0.0,-261.0,0.0,0.0,0.0,1.0,3.0,0.091605,2.072855660944823,0.837275
50,visit_frequency,1000000,1000.0,4.681745,2.0,0.0,1.0,5.0,10.0,15.0,34.0,0.827599,12.600163441597692,0.172401
100,distance_regret,1000000,171.1163845045653,0.34306825906470995,0.1294382140491308,-36.87146630140842,0.016822264043635515,0.3922724950928611,0.8544308671816306,1.3098933887130086,3.0297821570496652,0.838381,0.9270703591236145,0.086061
100,routing_aware,1000000,246.0,-0.084941,0.0,-235.0,0.0,0.0,1.0,2.0,5.0,0.132381,2.5531474744947653,0.765108
100,visit_frequency,1000000,1000.0,7.189741,4.0,0.0,2.0,9.0,15.0,22.0,46.0,0.913939,13.997086959539796,0.086061
200,distance_regret,1000000,262.61297417284004,0.5996166478953212,0.260931693939213,-45.61893656426446,0.05672580999938859,0.7112483740713209,1.4671381763339624,2.195268047424281,4.880695631841284,0.899415,1.3947314458950326,0.034928
200,routing_aware,1000000,135.0,-0.143423,0.0,-182.0,0.0,0.0,1.0,2.0,6.0,0.185411,3.2093623732870995,0.673549
200,visit_frequency,1000000,1000.0,11.658574,8.0,0.0,4.0,14.0,25.0,34.0,68.0,0.965072,16.93351901662865,0.034928
400,distance_regret,1000000,262.61297417284004,1.0459905376091048,0.49762077261543425,-50.871223767178435,0.12722054486692969,1.2755729851520563,2.529557754821377,3.702947282605494,8.0416199276407,0.93016,2.1238353207123115,0.012652
400,routing_aware,1000000,725.0,-0.251394,0.0,-243.0,0.0,0.0,2.0,3.0,8.0,0.246645,4.404944614494488,0.564759
400,visit_frequency,1000000,1000.0,19.192867,13.0,0.0,7.0,24.0,40.0,55.0,101.0,0.987348,22.362719452703217,0.012652
800,distance_regret,1000000,266.4863194513348,1.7932088546656786,0.9103319115297097,-64.07107621044815,0.24812995189229525,2.239519409834635,4.30888524832955,6.214098168228123,13.120288302436846,0.943444,3.282483677122893,0.00479
800,routing_aware,1000000,352.0,-0.434012,0.0,-313.0,0.0,1.0,3.0,4.0,11.0,0.313074,5.932339301140488,0.446519
800,visit_frequency,1000000,1000.0,31.35644,23.0,0.0,12.0,40.0,65.0,86.0,149.0,0.99521,31.206415214285666,0.00479
