budget,L,hits,recall,reads,comparisons
40,50,8159,0.8159,65.417,7488.92
40,100,9136,0.9136,113.335,12475.472
40,200,9682,0.9682,211.518,22244.96
40,400,9898,0.9898,410.111,40989.68
40,800,9970,0.997,808.801,76575.209
48,50,8439,0.8439,65.142,7461.032
48,100,9300,0.93,113.056,12449.312
48,200,9769,0.9769,211.287,22229.727
48,400,9932,0.9932,410.009,40987.595
48,800,9976,0.9976,808.776,76594.438
56,50,8605,0.8605,65.344,7486.82
56,100,9374,0.9374,112.918,12440.146
56,200,9782,0.9782,211.353,22241.333
56,400,9937,0.9937,409.853,40992.638
56,800,9985,0.9985,808.534,76596.946
